Wall time,Step,Value
1520896547.574786,43,10.673884391784668
1520896628.7534013,168,8.205692291259766
1520896669.2829483,230,7.880826473236084
1520896672.8193579,235,7.897933006286621
1520896697.6675222,274,7.714123249053955
1520896828.547521,475,7.77968692779541
1520896868.6489394,537,7.503712177276611
1520896897.083008,580,7.109982967376709
1520896901.5654492,587,7.403687000274658
1520896932.6086574,635,7.231317520141602
1520896941.2060628,648,7.739076137542725
1520896985.2893603,715,7.623689651489258
1520897046.5995545,809,7.41725492477417
1520897180.5994842,1015,7.336938381195068
1520897385.7461436,1334,7.428798675537109
1520897388.3279288,1338,8.01484203338623
1520897419.0296745,1386,7.3768415451049805
1520897423.3592443,1393,7.637547969818115
1520897451.9759407,1437,7.050426959991455
1520897616.0598993,1692,7.455538272857666
1520897643.8547611,1735,7.414991855621338
1520897645.8142185,1738,7.287665367126465
1520897736.3828619,1878,7.508376121520996
1520897761.8859973,1918,7.065006256103516
1520897838.9065661,2037,7.247476100921631
1520897944.680887,2200,7.454329967498779
1520898014.987973,2308,7.515419006347656
1520898066.730657,2390,7.3428053855896
1520898127.3841178,2486,7.134462356567383
1520898127.934242,2487,7.124024391174316
1520898135.409538,2499,7.0072503089904785
1520898250.6792765,2686,7.471193790435791
1520898466.6429274,3039,6.885483741760254
1520898583.579964,3231,6.7410054206848145
1520898593.299164,3247,6.873194694519043
1520898629.303787,3306,6.986746311187744
1520898817.2998238,3619,6.8006768226623535
1520898818.6335673,3621,7.2822265625
1520898848.9445689,3671,6.846559047698975
1520898891.8317559,3742,7.380638599395752
1520898937.0208457,3815,6.980663299560547
1520898941.399104,3822,7.071228504180908
1520899023.4642968,3957,6.599022388458252
1520899240.6921105,4318,6.960179328918457
1520899291.546214,4401,6.767827987670898
1520899346.183315,4493,7.18892240524292
1520899356.7534888,4510,7.184895038604736
1520899459.9692786,4677,7.069347381591797
1520899526.2874017,4789,6.832147121429443
1520899635.638022,4972,6.7958245277404785
1520899734.3807015,5135,6.825964450836182
1520899863.1824691,5346,6.868257999420166
1520899872.0708976,5360,6.95187520980835
1520900091.914008,5724,7.1372270584106445
1520900143.2773356,5809,7.2047119140625
1520900176.954345,5865,6.583913803100586
1520900203.1129982,5908,6.531374931335449
1520900252.6867585,5991,6.923147678375244
1520900379.657795,6201,7.172235488891602
1520900390.8103049,6220,6.3290228843688965
1520900434.04691,6290,6.788125038146973
1520900606.4615514,6575,6.796342849731445
1520900681.6123955,6700,6.853625297546387
1520900688.9805887,6712,6.822876453399658
1520900776.4918153,6855,6.195406913757324
1520900843.9223604,6967,7.593663692474365
1520900958.3884556,7156,6.694745063781738
1520901095.4660873,7383,6.919697284698486
1520901143.9618986,7461,7.2002949714660645
1520901145.8219056,7464,6.842906475067139
1520901174.1150556,7512,7.309854507446289
1520901347.8356187,7799,6.825480937957764
1520901368.6689134,7834,6.9845428466796875
1520901465.6635473,7992,6.929943561553955
1520901510.8293693,8067,6.801807880401611
1520901579.7136595,8181,6.574847221374512
1520901604.592506,8222,6.69419002532959
1520901690.079383,8364,6.788920879364014
1520901698.2264524,8378,6.393942356109619
1520901771.3158054,8499,6.699530124664307
1520901777.24127,8509,6.655041694641113
1520901834.1328297,8602,6.385785102844238
1520902001.6623619,8879,6.3665876388549805
1520902035.1522014,8936,7.094545841217041
1520902070.5836887,8994,6.035629749298096
1520902234.2507348,9261,6.776803493499756
1520902359.8832614,9469,6.241308689117432
1520902411.5525281,9555,6.799011707305908
1520902419.3860245,9568,6.313004016876221
1520902498.51074,9699,7.077235698699951
1520902585.7573109,9844,6.470599174499512
1520902624.9775035,9908,6.350997447967529
1520902844.691595,10277,6.0165815353393555
1520902849.1891193,10284,6.851243019104004
1520902918.7693362,10400,6.551318168640137
1520902966.079402,10480,6.265988826751709
1520902991.664216,10523,6.5403900146484375
1520903042.043793,10608,5.834527015686035
1520903145.8203459,10781,6.549699306488037
1520903219.393387,10903,6.053585529327393
1520903221.2972705,10906,6.4648308753967285
1520903257.9946768,10967,6.476256847381592
1520903262.7541437,10975,6.118471622467041
1520903290.9102244,11021,6.27153205871582
1520903340.6357567,11103,6.042235851287842
1520903531.3992665,11420,5.95842170715332
1520903563.452868,11473,6.419405460357666
1520903598.94387,11533,6.588677406311035
1520903619.731103,11567,6.902901649475098
1520903690.9344816,11686,6.474210739135742
1520903734.7016752,11760,5.583792209625244
1520903862.355381,11970,6.229881763458252
1520903865.454413,11975,6.203821659088135
1520903981.2283604,12165,6.031088352203369
1520904056.164723,12291,6.742084980010986
1520904285.242422,12672,6.892210483551025
1520904408.4815025,12878,6.542710304260254
1520904445.346156,12940,6.070165157318115
1520904502.2209888,13035,6.583224296569824
1520904518.802625,13062,6.530585765838623
1520904727.4911025,13403,5.829655647277832
1520904814.2592723,13547,5.833449840545654
1520904844.384875,13598,6.18024206161499
1520904858.7120297,13621,6.352368354797363
1520904971.1365452,13811,6.349781036376953
1520905133.5418007,14081,6.044950008392334
1520905217.5119245,14222,6.499086856842041
1520905260.9487863,14295,6.284193992614746
1520905288.1465278,14339,6.903534889221191
1520905353.2971983,14448,6.273283958435059
1520905468.6997046,14639,6.427099704742432
1520905486.8036766,14669,6.498457431793213
1520905498.3110466,14688,6.132024765014648
1520905553.3404126,14780,6.194925308227539
1520905572.1443512,14810,5.982400417327881
1520905611.2166026,14874,6.185271263122559
1520905622.9547625,14893,5.899136543273926
1520905970.8482313,15474,5.681971549987793
1520905990.863094,15508,5.94600772857666
1520906130.8831015,15741,5.86857271194458
1520906145.3264215,15765,5.844681739807129
1520906357.341065,16117,5.962899208068848
1520906438.0253038,16250,6.055789947509766
1520906481.3149555,16322,5.873729705810547
1520906774.0520535,16810,6.241011619567871
1520906803.1357248,16858,5.600281238555908
1520906930.2024958,17067,6.129502773284912
1520906948.9668045,17098,6.349526882171631
1520907065.6614935,17293,6.205045223236084
1520907081.592857,17318,5.978837490081787
1520907094.8335862,17340,6.104219913482666
1520907216.5855913,17544,6.0450239181518555
1520907224.991871,17558,5.797165393829346
1520907242.4860713,17587,6.135828971862793
1520907766.8325877,18452,6.043680191040039
1520908167.6479812,19117,5.235608100891113
1520908199.6388137,19170,5.43915319442749
1520908419.7889895,19532,5.870462417602539
1520908486.184862,19641,6.06854248046875
1520908494.3038902,19655,6.037217617034912
1520908540.1240327,19732,6.4409074783325195
1520908610.5511627,19847,5.641539096832275
1520908701.3497372,19996,6.321584701538086
1520908736.9192255,20054,6.31117057800293
1520908742.5432386,20063,5.894032001495361
1520908788.1544168,20139,6.560337543487549
1520908851.3454974,20245,5.860106945037842
1520908856.154413,20253,4.9612579345703125
1520908899.3870227,20324,5.8601274490356445
1520908970.267918,20441,5.64617919921875
1520909028.9951682,20540,5.915410041809082
1520909029.5169904,20541,6.296209812164307
1520909051.914556,20579,6.1725664138793945
1520909175.9075906,20780,5.5585036277771
1520909178.2732742,20783,5.465746879577637
1520909207.9838564,20832,5.504337787628174
1520909222.4692824,20856,5.885244846343994
1520909357.6634555,21081,6.441099643707275
1520909396.740327,21145,5.452005386352539
1520909450.172049,21233,5.8785247802734375
1520909503.6503356,21320,6.088820934295654
1520909547.2424245,21392,6.684818267822266
1520909627.888181,21524,6.4395246505737305
1520909821.3606915,21849,5.778256893157959
1520910059.801056,22246,5.725865840911865
1520910087.5706298,22293,6.0895915031433105
1520910110.5482242,22331,5.825747966766357
1520910127.0563445,22359,5.626461505889893
1520910195.3394814,22473,5.7047200202941895
1520910417.9114988,22841,5.841411113739014
1520910597.736945,23139,5.394113063812256
1520910603.773121,23149,5.4449944496154785
1520910630.254194,23193,6.321883201599121
1520910645.312573,23219,5.555953502655029
1520910686.4548826,23287,5.8031535148620605
1520910730.7015438,23362,5.797654628753662
1520910770.218713,23428,5.6355156898498535
1520910837.5194883,23541,5.758525848388672
1520910916.4039104,23671,6.050347328186035
1520910923.0246222,23682,5.7751994132995605
1520910935.0624552,23702,5.311174392700195
1520911075.8496764,23939,6.017874240875244
1520911160.0800242,24080,5.679467678070068
1520911199.9860969,24148,5.59738302230835
1520911281.3310022,24283,5.6802568435668945
1520911282.4927282,24285,5.930429935455322
1520911305.5888765,24323,5.335278034210205
1520911319.223079,24346,5.414402961730957
1520911485.8905196,24622,5.891901016235352
1520911544.8341987,24720,5.998570919036865
1520911549.7454462,24728,5.668866157531738
1520911655.227165,24902,5.953119277954102
1520911675.0260897,24935,6.675236701965332
1520911720.078997,25009,5.754993915557861
1520911868.1198177,25254,6.040818691253662
1520911916.0522704,25333,5.747616291046143
1520911952.0477319,25392,5.909196853637695
1520912206.8034394,25813,6.1100993156433105
1520912227.3335218,25848,4.9058427810668945
1520912271.4881444,25922,6.198555946350098
1520912357.535358,26067,5.714053153991699
1520912411.0525587,26156,5.544963359832764
1520912500.6578734,26304,5.855310440063477
1520912600.8195608,26471,5.533714771270752
1520912796.9565754,26798,5.869014263153076
1520912797.6874628,26799,5.638711452484131
1520912816.252675,26830,5.92915153503418
1520913003.0249574,27143,5.555262565612793
1520913010.2214863,27155,5.8101277351379395
1520913012.708232,27159,5.613646984100342
1520913013.2787402,27160,6.384346961975098
1520913083.284507,27275,6.470911979675293
1520913222.644228,27506,5.400894641876221
1520913281.4867399,27604,5.922894477844238
1520913291.3728921,27621,5.709578990936279
1520913302.255802,27639,5.443718433380127
1520913414.3914459,27826,5.661937236785889
1520913468.8921974,27917,5.263556003570557
1520913500.9099877,27969,5.704464435577393
1520913784.8202024,28439,5.743578910827637
1520913792.4017985,28452,5.752676010131836
1520913848.395818,28544,5.517746448516846
1520913866.4106076,28573,6.537618637084961
1520914104.1623635,28971,5.728921890258789
1520914119.4482837,28997,5.649109363555908
1520914159.4006832,29063,5.772800445556641
1520914244.1678767,29202,6.007320404052734
1520914282.3764038,29264,5.298305511474609
1520914408.1716943,29472,5.514884948730469
1520914417.9839768,29488,5.602181911468506
1520914463.036681,29562,4.802019119262695
1520914493.2020168,29612,6.110906600952148
1520914625.0601885,29830,5.4778547286987305
1520914731.9615035,30006,5.884932041168213
1520914748.1263282,30032,6.237821102142334
1520914784.1115763,30093,5.765317440032959
1520914834.1054924,30175,5.419183254241943
1520914875.2331328,30244,5.221319198608398
1520914926.345882,30328,6.374446392059326
1520915006.560973,30460,5.309101104736328
1520915013.4981139,30471,5.920532703399658
1520915099.2358868,30613,5.859210014343262
1520915155.1717155,30707,5.221800327301025
1520915163.8678286,30721,6.459202289581299
1520915577.0928588,31407,5.901305675506592
1520915599.7320046,31444,5.359094142913818
1520915751.394472,31697,5.9132819175720215
1520915819.898938,31809,5.661554336547852
1520915862.9650924,31881,5.900263786315918
1520915896.6638646,31937,5.550066947937012
1520915902.1613512,31946,5.191706657409668
1520915937.6864836,32005,5.8409247398376465
1520916038.593804,32175,5.540965557098389
1520916058.5904267,32208,5.647027969360352
1520916195.0624754,32436,5.787993907928467
1520916452.5942092,32490,5.851291179656982
1520916527.5064077,32605,5.7426533699035645
1520916595.223612,32710,5.6257123947143555
1520916680.9964364,32842,5.272016525268555
1520916686.4102771,32850,5.611186981201172
1520916771.2169855,32982,4.965591907501221
1520917818.5501063,33100,6.1297430992126465
1520917835.748569,33127,5.486101150512695
1520917837.1579542,33129,5.8192853927612305
1520917894.8699224,33219,5.912314414978027
1520917939.9441524,33289,5.8880720138549805
1520917961.6029088,33323,5.305066108703613
1520917978.9599426,33351,5.545933246612549
1520918178.8047497,33676,6.308841705322266
1520918184.2293005,33685,5.049694061279297
1520918192.0005906,33697,6.025488376617432
1520918203.9276562,33716,5.339562892913818
1520918214.7417626,33733,5.497364521026611
1520918247.8004816,33787,5.452666759490967
1520918255.4173744,33799,5.509161472320557
1520918270.3148038,33824,5.374678134918213
1520918292.5911746,33861,5.5797953605651855
1520918358.3174996,33965,5.623593807220459
1520918370.020213,33984,5.848585605621338
1520918435.3204386,34089,5.304963111877441
1520918571.2954798,34310,5.552353858947754
1520918583.9264998,34331,5.928040027618408
1520918617.2906563,34386,5.132045745849609
1520918670.959091,34473,5.680943489074707
1520918716.5065846,34547,5.2380051612854
1520918828.2731483,34731,5.063737392425537
1520919163.7787404,35281,6.098476409912109
1520919176.5747533,35302,5.793670177459717
1520919181.6439166,35310,6.920808792114258
1520919191.138635,35325,6.0956034660339355
1520919255.103395,35431,5.861932277679443
1520919309.1384976,35521,6.139127254486084
1520919429.0251565,35719,6.086721420288086
1520919433.26042,35726,5.160838603973389
1520919553.4823668,35727,5.647554397583008
1520919631.098934,35831,5.376933574676514
1520919643.9013138,35848,5.429858207702637
1520919694.8995621,35915,5.606560707092285
1520919849.0808365,36124,5.320326805114746
1520919870.3854294,36153,5.458672523498535
1520920132.992023,36507,5.552088737487793
1520920155.8238213,36537,5.551833629608154
1520920236.2332318,36645,5.313917636871338
1520920274.8080623,36697,5.235500812530518
1520920298.2830868,36728,5.2743754386901855
1520920341.3295097,36785,5.468777656555176
1520920560.8315253,37080,5.458001136779785
1520920748.5274785,37333,5.140038967132568
1520920773.2382743,37367,5.359533309936523
1520920968.8624082,37642,5.8273606300354
1520921049.3016436,37754,5.251451015472412
1520921270.9865017,38070,5.380202293395996
1520921444.0736973,38317,5.436363697052002
1520921455.4041078,38333,5.538167953491211
1520921641.7571015,38598,5.023685455322266
1520921726.9126978,38718,5.436954498291016
1520921826.6736903,38859,5.680000305175781
1520921843.1725118,38883,5.426431179046631
1520922045.913901,39174,5.585911750793457
1520922331.1287644,39580,5.539640426635742
1520922350.880307,39608,5.623622417449951
1520922386.7482479,39659,5.297603607177734
1520922456.1495304,39756,5.537364482879639
1520922477.5548794,39787,5.408388614654541
1520922481.3143768,39792,5.65256404876709
1520922555.0993388,39898,5.523191452026367
1520922747.8218408,40174,5.673544406890869
1520922890.7019649,40378,5.25562858581543
1520922994.199053,40525,5.444732189178467
1520923005.3634732,40541,5.325015068054199
1520923008.035656,40545,5.229642391204834
1520923031.2869809,40578,5.655208587646484
1520923045.27417,40598,5.644936561584473
1520923096.2874615,40671,5.255468845367432
1520923270.5833771,40918,5.71063756942749
1520923413.0530841,41122,5.384335041046143
1520923431.4930408,41149,5.089226245880127
1520923480.585748,41219,5.573447227478027
1520923618.6644042,41417,5.498467922210693
1520923630.0147047,41433,5.343681812286377
1520923951.6210642,41891,5.3478922843933105
1520924035.9870584,42012,5.187373161315918
1520924113.6871672,42122,5.09766960144043
1520924259.2980177,42328,5.5578694343566895
1520924272.0027304,42346,5.513635158538818
1520924418.7480178,42556,5.357457637786865
1520924633.01425,42859,5.282037734985352
1520924841.8254912,43156,5.566336154937744
1520925010.1588175,43396,5.490992546081543
1520925034.7494678,43431,5.6312150955200195
1520925072.9388018,43485,4.974318504333496
1520925095.2905047,43517,5.058499336242676
1520925145.5177205,43589,5.310940742492676
