Wall time,Step,Value
1521475765.4326108,43,5.896328449249268
1521475768.2755346,46,6.1438679695129395
1521475793.6270576,72,6.146341323852539
1521475816.0355277,95,5.435681343078613
1521475888.5759022,168,5.746264934539795
1521475950.6158702,230,5.543779373168945
1521475955.431831,235,5.584931373596191
1521475975.820801,256,5.681701183319092
1521475993.91695,274,5.795077323913574
1521476028.985157,309,5.837972640991211
1521476031.0404682,311,5.708900451660156
1521476038.6540458,319,5.632838249206543
1521476192.6982417,475,5.373078346252441
1521476250.9982193,537,5.326057434082031
1521476293.1222851,580,4.608547210693359
1521476299.7959573,587,4.594217300415039
1521476348.122135,635,4.778972625732422
1521476361.0597522,648,5.475940704345703
1521476384.7743747,672,4.460832595825195
1521476427.1968555,715,4.944605827331543
1521476435.128284,723,4.720065116882324
1521476497.130672,786,4.762528419494629
1521476514.3184257,803,4.371093273162842
1521476520.3235946,809,5.253451347351074
1521476547.777275,837,4.350962162017822
1521476684.3713346,972,3.921050548553467
1521476727.40644,1015,4.6659955978393555
1521476772.5536673,1067,5.197354316711426
1521476806.2534328,1105,4.513988494873047
1521476872.5337324,1181,4.584718227386475
1521476944.0579011,1262,4.830731391906738
1521476992.3270092,1317,4.3268022537231445
1521476995.0416284,1320,4.551721572875977
1521477007.0072062,1334,4.020318031311035
1521477010.5340106,1338,4.135724067687988
1521477052.6244917,1386,4.650046348571777
1521477058.71037,1393,4.284261703491211
1521477097.751307,1437,4.068142890930176
1521477124.157544,1467,4.678805351257324
1521477174.0056686,1524,4.353505611419678
1521477199.154467,1553,4.410224914550781
1521477213.131737,1569,4.197138786315918
1521477226.3371327,1585,4.011926174163818
1521477305.4316864,1692,3.7964508533477783
1521477337.5344543,1735,3.6176843643188477
1521477339.839037,1738,4.704761505126953
1521477420.344469,1845,3.492858648300171
1521477437.0559697,1867,3.795686960220337
1521477445.3292828,1878,4.074789524078369
1521477475.9386742,1918,4.714267730712891
1521477498.5346096,1948,3.7618730068206787
1521477564.9709406,2037,4.324595928192139
1521477610.1576874,2097,4.336173057556152
1521477678.4763856,2188,4.56046724319458
1521477687.515313,2200,4.714423179626465
1521477711.8017209,2232,4.025074005126953
1521477735.2299674,2263,4.421169281005859
1521477768.7648518,2308,4.042176246643066
1521477829.9695425,2390,4.718539237976074
1521477865.14742,2437,4.859951019287109
1521477878.0592718,2454,3.999173402786255
1521477879.590566,2456,4.352886199951172
1521477883.50183,2461,4.413405895233154
1521477903.0672655,2486,4.510359287261963
1521477903.7236087,2487,4.333861351013184
1521477912.9446297,2499,4.1309895515441895
1521477916.6845055,2504,4.2824530601501465
1521477938.2777026,2533,4.481292724609375
1521477949.6290166,2548,4.003057956695557
1521478052.9025095,2686,3.9422740936279297
1521478094.0973322,2741,4.078027725219727
1521478308.8403962,2968,3.946869134902954
1521478386.1752717,3039,4.451637268066406
1521478389.7127564,3042,4.630746841430664
1521478519.461111,3162,4.077443599700928
1521478589.9915113,3231,4.225708484649658
1521478605.6065862,3245,4.3534626960754395
1521478607.7184026,3247,4.069169521331787
1521478608.8094125,3248,4.03029727935791
1521478671.967828,3306,3.8655970096588135
1521478856.6021485,3481,4.197971343994141
1521479007.020149,3619,3.7140650749206543
1521479009.3593588,3621,4.667051315307617
1521479064.1695304,3671,3.9435296058654785
1521479141.59813,3742,4.086195945739746
1521479199.138958,3794,3.974979877471924
1521479222.5096064,3815,3.9522526264190674
1521479229.682818,3822,4.028313636779785
1521479346.434641,3929,3.750812530517578
1521479376.8693678,3957,3.318802833557129
1521479406.8645134,3985,4.389861106872559
1521479461.8825588,4037,4.502998352050781
1521479523.8720932,4099,3.734790325164795
1521479631.7526162,4197,4.512348175048828
1521479664.850503,4228,3.9892570972442627
1521479670.5447915,4233,3.791494846343994
1521479764.3340855,4318,3.988739013671875
1521479766.537318,4320,2.9357473850250244
1521479853.9598758,4401,3.3948616981506348
1521479954.5636199,4493,3.5256972312927246
1521479973.2847672,4510,3.95169734954834
1521479995.5595002,4531,3.196413516998291
1521480142.1083224,4665,3.8957817554473877
1521480146.1745083,4669,2.7657129764556885
1521480153.8922234,4677,4.52671480178833
1521480274.9834197,4789,3.3947489261627197
1521480289.859639,4803,3.5157270431518555
1521480332.657163,4841,3.3961451053619385
1521480345.803581,4853,3.692258834838867
1521480392.010102,4895,3.6715004444122314
1521480475.6872265,4972,4.294299125671387
1521480562.5354846,5051,4.153770446777344
1521480564.8772705,5053,3.885010242462158
1521480623.691747,5107,2.9932544231414795
1521480655.2024431,5135,4.643952369689941
1521480770.1966767,5240,4.539869785308838
1521480883.2730856,5346,3.393472194671631
1521480898.9729965,5360,4.280363082885742
1521480966.740044,5421,3.8256208896636963
1521481108.5955176,5550,4.049552917480469
1521481250.9595816,5680,4.1849260330200195
1521481297.0234966,5724,3.3475847244262695
1521481385.5834758,5809,4.028761386871338
1521481407.1001542,5829,3.471546173095703
1521481447.3394136,5865,3.5122451782226562
1521481454.956059,5872,3.7981324195861816
1521481493.3620076,5908,3.7276692390441895
1521481515.8480387,5929,3.9506945610046387
1521481586.1890476,5991,3.72509765625
1521481608.2673361,6011,3.4628868103027344
1521481724.2921119,6122,4.0481343269348145
1521481735.1827638,6132,3.9364988803863525
1521481811.4942,6201,3.769620418548584
1521481825.6005633,6214,3.7081785202026367
1521481833.2142274,6220,3.5291190147399902
1521481919.975756,6290,3.7736997604370117
1521481948.1171281,6313,4.034353733062744
1521482025.5056622,6377,3.640031576156616
1521482201.0414526,6521,3.408450126647949
1521482265.9125233,6575,3.645948648452759
1521482301.884427,6604,3.762477397918701
1521482367.8812246,6658,3.587951183319092
1521482415.4928365,6697,3.5682833194732666
1521482419.0965695,6700,3.2371387481689453
1521482433.6560898,6712,4.015517234802246
1521482471.6494083,6743,3.569594383239746
1521482604.9017003,6855,3.3014235496520996
1521482741.2266653,6967,3.717308521270752
1521482773.646831,6993,3.414045810699463
1521482911.887894,7107,3.6480746269226074
1521482921.4433815,7115,3.8108954429626465
1521482970.7282794,7156,3.9694952964782715
1521483084.5849574,7248,3.65645170211792
1521483162.6771653,7312,3.9950404167175293
1521483221.2294762,7360,3.878751754760742
1521483249.2522242,7383,3.775768756866455
1521483331.6611335,7451,3.992375373840332
1521483343.908594,7461,3.0718302726745605
1521483347.844356,7464,3.5569465160369873
1521483366.120823,7479,3.5247817039489746
1521483407.5075119,7512,4.014759540557861
1521483625.7378256,7694,3.5583133697509766
1521483707.1875994,7761,3.7160048484802246
1521483741.5839942,7789,3.885913372039795
1521483753.5612066,7799,3.2051782608032227
1521483796.4146917,7834,3.589933395385742
1521483988.0754566,7992,3.636338710784912
1521484080.983356,8067,3.834853172302246
1521484222.2360811,8181,2.9835221767425537
1521484272.4390347,8222,3.5691137313842773
1521484441.247575,8364,4.030918598175049
1521484447.2031295,8369,3.681432008743286
1521484457.947661,8378,3.480738401412964
1521484573.7329144,8471,3.2108817100524902
1521484607.6425574,8499,3.4557104110717773
1521484620.5068364,8509,3.286916971206665
1521484735.6426396,8602,3.4937210083007812
1521484777.420845,8636,3.894918441772461
1521484849.4435668,8696,3.0065526962280273
1521485053.8829932,8879,3.6092395782470703
1521485081.693947,8905,2.927433490753174
1521485084.8888159,8908,3.8842341899871826
1521485107.5264204,8929,3.737732172012329
1521485114.7383683,8936,3.06196928024292
1521485177.4921916,8994,3.985464572906494
1521485184.1560223,9000,3.7222440242767334
1521485244.3566244,9056,3.875929355621338
1521485454.7392433,9261,2.840799331665039
1521485514.8374822,9317,4.041826248168945
1521485546.6047103,9349,3.8442161083221436
1521485640.7324364,9436,3.779496669769287
1521485675.7787583,9469,3.07930064201355
1521485759.6224036,9548,3.451244354248047
1521485766.809727,9555,3.655146837234497
1521485780.5736992,9568,3.4322333335876465
1521485844.3886752,9628,4.0839338302612305
1521485877.398176,9658,3.9791622161865234
1521485902.072045,9681,3.9571454524993896
1521485920.9664452,9699,3.6183547973632812
1521486076.0644462,9844,3.3242692947387695
1521486143.5105119,9908,3.476728677749634
1521486302.5362585,10059,3.732825756072998
1521486329.887706,10085,3.6800742149353027
1521486535.2358255,10277,3.169623613357544
1521486542.800407,10284,3.8131728172302246
1521486663.659383,10397,2.9140405654907227
1521486666.984585,10400,2.904796600341797
1521486752.9116228,10480,3.522364854812622
1521486798.3555381,10523,3.411874294281006
1521486888.355341,10608,3.1536202430725098
1521486920.7865071,10639,3.417391777038574
1521486937.4128664,10655,3.543694496154785
1521486955.484561,10672,3.331510543823242
1521486999.0509644,10712,3.120213747024536
1521487048.8325028,10758,3.5146589279174805
1521487049.9026344,10759,3.8544564247131348
1521487073.2965925,10781,4.170788288116455
1521487111.050436,10816,3.876779794692993
1521487139.2651358,10842,3.701754093170166
1521487148.7881913,10851,3.4107613563537598
1521487204.8877351,10903,3.463925361633301
1521487207.9661295,10906,3.6726415157318115
1521487243.8455122,10940,2.8809287548065186
1521487248.3702118,10944,3.721611738204956
1521487273.0505438,10967,3.295779228210449
1521487279.7867303,10973,3.226346492767334
1521487282.0088813,10975,2.9290542602539062
1521487331.5804968,11021,3.5278513431549072
1521487418.213086,11103,3.7426183223724365
1521487438.5504103,11122,3.3199594020843506
1521487448.087517,11131,3.834524154663086
1521487520.5719063,11199,3.7055587768554688
1521487522.9339042,11201,3.308598756790161
1521487587.6372802,11261,3.882518768310547
1521487756.1464865,11420,3.977189064025879
1521487812.9392178,11473,2.9871442317962646
1521487834.0409577,11493,3.362229585647583
1521487867.4375489,11524,3.200674057006836
1521487877.3313174,11533,2.843848466873169
1521487895.4200299,11550,3.397059440612793
1521487914.2038226,11567,3.4671640396118164
1521488001.763445,11649,2.7509889602661133
1521488026.37815,11672,3.2418766021728516
1521488041.234559,11686,2.980905532836914
1521488119.7788537,11760,3.8872175216674805
1521488242.1907396,11874,3.1994543075561523
1521488343.0512645,11970,3.7015814781188965
1521488348.26851,11975,3.6525826454162598
1521488386.8264885,12011,3.1171960830688477
1521488418.5397556,12042,2.9317779541015625
1521488514.9984694,12139,3.5875244140625
1521488544.6342752,12165,3.1735715866088867
1521488549.101488,12169,3.9660096168518066
1521488568.4343307,12185,3.460606098175049
1521488618.8812215,12227,3.4443280696868896
1521488696.2459233,12291,3.6148881912231445
1521488699.5101671,12294,3.1194088459014893
1521488833.62295,12406,3.0882632732391357
1521488899.183704,12459,3.642341375350952
1521489157.436942,12672,3.7073862552642822
1521489191.6877794,12700,3.3411996364593506
1521489317.7221105,12806,3.1766834259033203
1521489403.3172674,12878,3.3260531425476074
1521489473.3845825,12940,3.276998519897461
1521489566.8474658,13018,3.6387593746185303
1521489587.620535,13035,3.558541774749756
1521489620.6410193,13062,3.7779688835144043
1521489645.4938781,13083,3.305542469024658
1521489659.4943604,13095,3.379153251647949
1521489677.233731,13110,3.923403739929199
1521489746.3342729,13167,3.9203646183013916
1521489834.1315649,13240,3.06728196144104
1521489966.6904495,13350,3.1589748859405518
1521490031.146865,13403,3.781853199005127
1521490036.0262425,13407,3.452069044113159
1521490150.3134062,13505,3.495713710784912
1521490200.1732318,13547,3.205568552017212
1521490262.0581427,13598,3.944222927093506
1521490289.5570722,13621,3.2790563106536865
1521490359.6177824,13680,2.897282600402832
1521490363.0405037,13683,3.199991226196289
1521490476.4163387,13777,3.3211488723754883
1521490517.9419665,13811,4.03204345703125
1521490560.1717613,13846,3.7799580097198486
1521490608.0099068,13885,2.815342426300049
1521490718.0536878,13977,3.5311739444732666
1521490744.5227416,13999,3.740243673324585
1521490843.743571,14081,3.5661942958831787
1521491014.2374756,14222,3.2624950408935547
1521491094.504566,14288,3.1350457668304443
1521491103.2256553,14295,3.889024257659912
1521491134.2133465,14321,3.4611918926239014
1521491155.9835594,14339,3.6188857555389404
1521491227.6094353,14398,3.4101791381835938
1521491288.1187737,14448,3.80686092376709
1521491344.825884,14495,3.58095121383667
1521491421.8759398,14558,3.5493218898773193
1521491513.3703613,14633,3.5057272911071777
1521491520.680031,14639,3.3329813480377197
1521491557.3384998,14669,3.4511256217956543
1521491568.3761408,14678,3.456045627593994
