Wall time,Step,Value
1521359471.1676435,23,6.011850357055664
1521359678.1586945,148,6.028234481811523
1521359778.2148979,210,5.820116996765137
1521360176.5701764,455,5.881320953369141
1521360277.9830742,517,5.229171276092529
1521360347.5140095,560,5.947507858276367
1521360358.879856,567,5.6845574378967285
1521360436.4195583,615,5.661201477050781
1521360458.072364,628,5.86241340637207
1521360565.849978,695,5.829131603240967
1521360717.3599756,789,5.637794494628906
1521361050.7597823,995,5.718918323516846
1521361573.4164245,1314,5.591794013977051
1521361659.8156955,1366,5.489617347717285
1521361670.2852855,1373,5.627835273742676
1521361742.2530441,1417,5.856163024902344
1521362228.6112735,1715,5.872259616851807
1521362233.6220574,1718,5.485506057739258
1521362461.6062393,1858,5.331746578216553
1521362525.8840237,1898,5.7329511642456055
1521362715.4137743,2017,5.334897994995117
1521363149.2192473,2288,5.325813293457031
1521363279.1816378,2370,5.507403373718262
1521363429.1788068,2466,6.00753927230835
1521363430.8051748,2467,5.596232891082764
1521363745.902873,2666,5.466133117675781
1521364296.215722,3019,5.433420181274414
1521364597.2106926,3211,5.732706069946289
1521364621.0145028,3227,5.016750335693359
1521364713.1357682,3286,5.262947082519531
1521365204.4844184,3599,4.957914352416992
1521365208.0052133,3601,5.225281715393066
1521365286.244812,3651,5.4325079917907715
1521365525.797786,3802,5.158082008361816
1521365738.211403,3937,4.95664119720459
1521366304.023694,4298,5.01158332824707
1521366435.0115569,4381,5.004093170166016
1521366580.2195845,4473,4.91831111907959
1521366606.3726285,4490,5.070370674133301
1521366870.008776,4657,4.601995468139648
1521367330.8479555,4952,4.91884708404541
1521367586.2995903,5115,5.165328025817871
1521367918.0099943,5326,5.298514366149902
1521367940.255112,5340,4.94594144821167
1521368506.6373224,5704,5.148186683654785
1521368729.4994326,5845,4.9528279304504395
1521368796.734771,5888,5.006962776184082
1521368925.8506851,5971,4.967902183532715
1521369255.913094,6181,5.4164934158325195
1521369286.3186913,6200,4.477241039276123
1521370037.0215173,6680,4.397530555725098
1521370057.2921429,6692,4.784043312072754
1521370283.4401023,6835,4.692802429199219
1521370458.6949692,6947,4.454608917236328
1521370754.7755814,7136,4.866506576538086
1521371228.8207598,7441,4.676916122436523
1521371233.4619765,7444,4.715182304382324
1521371758.4897127,7779,4.053752899169922
1521371812.3080714,7814,4.622049331665039
1521372173.9877772,8047,4.121324062347412
1521372353.684791,8161,4.66166353225708
1521372418.7782583,8202,4.46103572845459
1521372851.7571204,8479,4.287426948547363
1521372867.7647567,8489,4.705996990203857
1521373013.1462317,8582,4.3256425857543945
1521373448.4739156,8859,4.937337875366211
1521373536.710618,8916,3.8974292278289795
1521374047.3094199,9241,4.542815208435059
